fichier,date,heure_debut,heure_fin,quartier,duree_minutes,latitude,longitude,variante_geocodage
planning_01_02_2026.JPG,01/02/2026,23h30,01h30,Kalikak,120.0,0.5116,9.43,dico:kalikak
planning_01_02_2026.JPG,01/02/2026,23h30,01h30,Port mole,120.0,0.3228,9.4973,patch:Port mole
planning_01_02_2026.JPG,01/02/2026,23h30,01h30,Montagne Sainte,120.0,0.3969,9.4439,dico:montagne sainte
planning_01_02_2026.JPG,01/02/2026,23h30,01h30,La foire,120.0,0.3969,9.4439,dico:la foire
planning_01_02_2026.JPG,01/02/2026,23h30,01h30,Airtel Gabon,120.0,0.3958,9.4407,dico:airtel gabon
planning_01_02_2026.JPG,01/02/2026,23h30,01h30,Télé Africa,120.0,0.3958,9.4407,patch:Télé Africa
planning_01_02_2026.JPG,01/02/2026,23h30,01h30,Michel Dirat,120.0,0.3958,9.4407,dico:michel dirat
,,,,,,,,
planning_02_02_2026.JPG,02/02/2026,11h30,13h30,Port mole,120.0,0.3228,9.4973,patch:Port mole
planning_02_02_2026.JPG,02/02/2026,11h30,13h30,Montagne Sainte,120.0,0.3969,9.4439,dico:montagne sainte
planning_02_02_2026.JPG,02/02/2026,11h30,13h30,La foire,120.0,0.3969,9.4439,dico:la foire
planning_02_02_2026.JPG,02/02/2026,11h30,13h30,Airtel Gabon,120.0,0.3958,9.4407,dico:airtel gabon
planning_02_02_2026.JPG,02/02/2026,11h30,13h30,Télé Africa,120.0,0.3958,9.4407,patch:Télé Africa
planning_02_02_2026.JPG,02/02/2026,11h30,13h30,Michel Dirat,120.0,0.3958,9.4407,dico:michel dirat
planning_02_02_2026.JPG,02/02/2026,11h30,13h30,Glass,120.0,0.3771,9.4533,dico:glass
planning_02_02_2026.JPG,02/02/2026,11h30,13h30,Imm. Chamoud,120.0,0.3859,9.4457,patch:Imm. Chamoud
planning_02_02_2026.JPG,02/02/2026,11h30,13h30,Centr'Affaires,120.0,0.3859,9.4457,dico:centr affaires
planning_02_02_2026.JPG,02/02/2026,11h30,13h30,Station Engen,120.0,0.3859,9.4457,dico:station engen
planning_02_02_2026.JPG,02/02/2026,11h30,13h30,Derrière la prison,120.0,0.4226,9.4528,dico:derriere la prison
planning_02_02_2026.JPG,02/02/2026,11h30,13h30,Bas de Gué-Gué,120.0,0.4226,9.4528,dico:bas de gue-gue
planning_02_02_2026.JPG,02/02/2026,11h30,13h30,Prix import,120.0,0.3714,9.4649,dico:prix import
planning_02_02_2026.JPG,02/02/2026,11h30,13h30,Petit marché,120.0,0.3714,9.4649,dico:petit marche
planning_02_02_2026.JPG,02/02/2026,13h30,15h30,Les Bougainvilliers,120.0,0.5091,9.3904,dico:les bougainvilliers
planning_02_02_2026.JPG,02/02/2026,13h30,15h30,Avorbam,120.0,0.5091,9.3904,dico:avorbam
planning_02_02_2026.JPG,02/02/2026,13h30,15h30,Marseille,120.0,0.5091,9.3904,dico:marseille
planning_02_02_2026.JPG,02/02/2026,13h30,15h30,Premier Campement,120.0,0.5284,9.3692,dico:premier campement
planning_02_02_2026.JPG,02/02/2026,13h30,15h30,Cap Santa Clara,120.0,0.5052,9.3184,dico:cap santa clara
planning_02_02_2026.JPG,02/02/2026,13h30,15h30,Akouango village,120.0,0.525,9.3383,dico:akouango village
planning_02_02_2026.JPG,02/02/2026,13h30,15h30,Cap Estérias,120.0,0.525,9.3383,dico:cap esterias
planning_02_02_2026.JPG,02/02/2026,13h30,15h30,ENEF,120.0,0.525,9.3383,dico:enef
planning_02_02_2026.JPG,02/02/2026,13h30,15h30,Haut de Gué-Gué,120.0,0.431,9.419,dico:haut de gue-gue
planning_02_02_2026.JPG,02/02/2026,13h30,15h30,Spa Yacine,120.0,0.431,9.419,dico:spa yacine
planning_02_02_2026.JPG,02/02/2026,13h30,15h30,Immeuble SONAHYGA,120.0,0.431,9.419,dico:immeuble sonahyga
planning_02_02_2026.JPG,02/02/2026,13h30,15h30,Immeubles Premium au Haut de Gué-Gué,120.0,0.431,9.419,dico:immeubles premium au haut de gue-gue
planning_02_02_2026.JPG,02/02/2026,13h30,15h30,Kalikak,120.0,0.5116,9.43,dico:kalikak
planning_02_02_2026.JPG,02/02/2026,13h30,15h30,Angondjé,120.0,0.5116,9.43,dico:angondje
planning_02_02_2026.JPG,02/02/2026,13h30,15h30,Château d'eau d'Angondjé,120.0,0.5116,9.43,dico:chateau d eau d angondje
planning_02_02_2026.JPG,02/02/2026,13h30,15h30,Cap Caravane,120.0,0.5222,9.4282,dico:cap caravane
planning_02_02_2026.JPG,02/02/2026,13h30,15h30,Lac bleu,120.0,0.4332,9.4454,dico:lac bleu
planning_02_02_2026.JPG,02/02/2026,13h30,15h30,Nouvelle cité,120.0,0.4316,9.4736,dico:nouvelle cite
planning_02_02_2026.JPG,02/02/2026,13h30,15h30,Lycée Koweit,120.0,0.429,9.4714,dico:lycee koweit
planning_02_02_2026.JPG,02/02/2026,13h30,15h30,Fin goudron,120.0,0.429,9.4714,dico:fin goudron
planning_02_02_2026.JPG,02/02/2026,13h30,15h30,Chantier Moderne,120.0,0.429,9.4714,dico:chantier moderne
planning_02_02_2026.JPG,02/02/2026,13h30,15h30,Carrefour GP,120.0,0.429,9.4714,dico:carrefour gp
planning_02_02_2026.JPG,02/02/2026,13h30,15h30,Montalier,120.0,0.4328,9.5045,dico:montalier
planning_02_02_2026.JPG,02/02/2026,13h30,15h30,Milong-Nsi,120.0,0.4328,9.5045,dico:milong-nsi
planning_02_02_2026.JPG,02/02/2026,13h30,15h30,Dragage,120.0,0.4363,9.4795,dico:dragage
planning_02_02_2026.JPG,02/02/2026,15h30,17h30,Petit paris,120.0,0.3966,9.4501,dico:petit paris
planning_02_02_2026.JPG,02/02/2026,15h30,17h30,Derrière le stade,120.0,0.3966,9.4501,dico:derriere le stade
planning_02_02_2026.JPG,02/02/2026,15h30,17h30,Palais des sports,120.0,0.3949,9.453,dico:palais des sports
planning_02_02_2026.JPG,02/02/2026,15h30,17h30,Marché Mont-Bouët,120.0,0.395,9.456,dico:marche mont-bouet
planning_02_02_2026.JPG,02/02/2026,15h30,17h30,Hôtel chinois,120.0,0.4419,9.4273,dico:hotel chinois
planning_02_02_2026.JPG,02/02/2026,15h30,17h30,Imm. Foberd,120.0,0.4009,9.4336,dico_partiel:foberd
planning_02_02_2026.JPG,02/02/2026,15h30,17h30,Cité Damas,120.0,0.3851,9.4793,dico:cite damas
planning_02_02_2026.JPG,02/02/2026,15h30,17h30,Prix Import Damas,120.0,0.3851,9.4793,dico:prix import damas
planning_02_02_2026.JPG,02/02/2026,15h30,17h30,Ecole EMG,120.0,0.3817,9.4942,dico:ecole emg
planning_02_02_2026.JPG,02/02/2026,15h30,17h30,Mindoubé 2,120.0,0.3817,9.4942,dico:mindoube 2
planning_02_02_2026.JPG,02/02/2026,15h30,17h30,Okala Mikolongo,120.0,0.4824,9.4041,dico:okala mikolongo
planning_02_02_2026.JPG,02/02/2026,15h30,17h30,Alibandeng,120.0,0.5116,9.43,patch:Alibandeng
planning_02_02_2026.JPG,02/02/2026,15h30,17h30,Village artisanal,120.0,0.3867,9.4469,dico:village artisanal
planning_02_02_2026.JPG,02/02/2026,15h30,17h30,Ecole d'Okala,120.0,0.4824,9.4041,dico:ecole d okala
planning_02_02_2026.JPG,02/02/2026,15h30,17h30,Derrière l'aéroport,120.0,0.4615,9.4101,dico:derriere l aeroport
planning_02_02_2026.JPG,02/02/2026,15h30,17h30,Kiliba,120.0,0.4824,9.4041,dico:kiliba
planning_02_02_2026.JPG,02/02/2026,15h30,17h30,Les Bougainvilliers,120.0,0.5091,9.3904,dico:les bougainvilliers
planning_02_02_2026.JPG,02/02/2026,15h30,17h30,Avorbam,120.0,0.5091,9.3904,dico:avorbam
planning_02_02_2026.JPG,02/02/2026,15h30,17h30,Marseille,120.0,0.5091,9.3904,dico:marseille
planning_02_02_2026.JPG,02/02/2026,15h30,17h30,Premier Campement,120.0,0.5284,9.3692,dico:premier campement
